,x1,x2
453,12645.2,12068.78
454,2.21,2.27
455,14989.85,14780.48
456,5132.81,4738.08
457,15650.64,15665.54
458,21934.72,21733.59
459,86400.14,79633.01
460,27127.15,25270.39
461,11.63,11.37
462,4754.92,4764.48
463,117807.87,108453.74
464,4589.81,4218.27
465,4496.0,5048.64
466,14951.29,11987.8
467,616.06,603.17
468,713.68,664.62
469,7221.34,7759.29
470,1386.88,1425.16
471,4451.38,4260.44
472,54.9,47.29
473,10.47,10.7
474,57.98,56.15
475,7.67,7.89
476,88.73,93.24
477,152.77,163.45
478,2721.05,2685.72
479,4.3,4.32
480,4412.51,4569.84
481,159.23,147.59
482,10227.56,9847.4
483,15.11,14.55
484,5831.31,5893.22
485,1383.68,1184.71
486,226.48,236.47
487,5355.83,5419.73
488,388.51,384.72
489,2.55,2.56
490,28453.35,29808.68
491,172.83,157.37
492,433.71,392.07
493,54.99,53.83
494,47230.46,49502.05
495,2490.73,2707.9
496,15972.71,14559.47
497,189.12,176.65
498,21753.05,23869.44
499,16.08,16.24
500,2.74,3.0
501,75235.64,72846.73
502,1189.83,1143.38
503,245.5,232.09
504,53.59,56.38
505,4.13,4.22
506,508.24,535.37
507,58.46,61.97
508,50.42,52.35
509,394.08,389.64
510,404.41,436.95
511,19.88,22.09
512,9.89,9.13
513,63.93,60.82
514,3.49,2.85
515,4.63,4.22
516,1173.21,1096.96
517,81.03,78.72
518,11.11,11.99
519,572.47,570.92
520,60767.24,56020.76
521,10534.08,11416.28
522,61.92,64.48
523,198.19,192.92
524,23943.44,22300.75
525,303.62,315.89
526,936.83,889.52
527,110.65,117.6
528,9589.23,9108.62
529,5821.98,5655.07
530,646.52,576.21
531,651.92,752.36
532,197.1,202.34
533,82.67,84.75
534,21.58,21.75
535,312.14,317.85
536,47.83,43.47
537,10133.8,9655.66
538,116.47,115.53
539,50.09,48.72
540,27.61,29.09
541,35618.14,33546.56
542,10.72,10.67
543,9507.39,10418.31
544,4811.59,4957.0
545,11.11,11.97
546,27.97,28.49
547,1.92,1.89
548,2750.98,2794.24
549,1039.01,1032.98
550,36807.22,38357.24
551,33838.49,35676.06
552,1215.14,1280.85
553,1299.65,1246.91
554,17971.11,17140.76
555,844.54,797.19
556,937.16,911.29
557,42.42,42.94
558,112.44,108.71
559,22339.95,23289.29
560,3.68,3.78
561,26.61,26.28
562,90.04,84.75
563,9.84,10.28
564,40.0,40.15
565,941.41,954.53
566,8.34,8.91
567,62.32,63.2
568,24960.94,24569.23
569,24512.28,26059.49
570,2653.63,2787.0
571,6952.49,6813.77
572,23507.32,25050.56
573,29.19,34.41
574,30.35,30.31
575,37.1,37.49
576,1.09,1.12
577,763.7,826.87
578,68377.85,73208.96
579,789.52,767.6
580,403.95,398.21
581,48103.48,49222.39
582,11.45,11.67
583,126.2,128.8
584,8.02,8.17
585,5.4,6.43
586,0.94,0.94
587,165.15,164.7
588,10.6,9.72
589,188.41,180.84
590,60648.48,55222.39
591,2880.18,3116.68
592,340.2,326.32
593,3039.88,3222.79
594,2.6,2.6
595,5662.68,5695.27
596,45.67,48.06
597,19.23,15.95
598,1.27,1.23
599,2836.78,2872.02
600,35.45,33.58
601,2064.63,2174.44
602,9.42,9.3
603,5.31,5.03
604,1.03,1.02
605,61.77,58.63
